image,word
0.tif,ترا
1.tif,جان
2.tif,روز
3.tif,گر
4.tif,نه
5.tif,عشق
6.tif,بس
7.tif,کن
8.tif,بس
9.tif,گشت
10.tif,نه
11.tif,سر
12.tif,آب
13.tif,روز
14.tif,گر
15.tif,ره
16.tif,را
17.tif,گل
18.tif,بی
19.tif,خوش
20.tif,خود
21.tif,خویش
22.tif,کار
23.tif,چه
24.tif,چنین
25.tif,بس
26.tif,اندر
27.tif,دم
28.tif,با
29.tif,خاک
30.tif,ملک
31.tif,آن
32.tif,شاه
33.tif,آمد
34.tif,عالم
35.tif,با
36.tif,دست
37.tif,خون
38.tif,هم
39.tif,بد
40.tif,کند
41.tif,نیست
42.tif,گفت
43.tif,شود
44.tif,هم
45.tif,داد
46.tif,زان
47.tif,این
48.tif,پر
49.tif,این
50.tif,اینجا
51.tif,بهر
52.tif,بود
53.tif,گل
54.tif,که
55.tif,از
56.tif,بود
57.tif,بهر
58.tif,تو
59.tif,عالم
60.tif,یار
61.tif,ترا
62.tif,اینجا
63.tif,دم
64.tif,این
65.tif,دم
66.tif,خوش
67.tif,آمد
68.tif,زین
69.tif,راه
70.tif,یکی
71.tif,ره
72.tif,هم
73.tif,را
74.tif,جهان
75.tif,سخن
76.tif,آمد
77.tif,باز
78.tif,را
79.tif,روی
80.tif,غم
81.tif,خون
82.tif,من
83.tif,یکی
84.tif,تن
85.tif,اندر
86.tif,پیش
87.tif,تا
88.tif,آن
89.tif,در
90.tif,آید
91.tif,کند
92.tif,همی
93.tif,باز
94.tif,تا
95.tif,کار
96.tif,دل
97.tif,جز
98.tif,عشق
99.tif,نه
100.tif,راه
101.tif,چنین
102.tif,شاه
103.tif,بر
104.tif,خود
105.tif,یار
106.tif,شد
107.tif,شد
108.tif,سخن
109.tif,آید
110.tif,پای
111.tif,پیش
112.tif,باشد
113.tif,تن
114.tif,ما
115.tif,آتش
116.tif,عالم
117.tif,آید
118.tif,گشت
119.tif,جز
120.tif,جز
121.tif,جهان
122.tif,جان
123.tif,را
124.tif,آب
125.tif,گشت
126.tif,عشق
127.tif,آید
128.tif,یار
129.tif,زان
130.tif,نه
131.tif,دل
132.tif,یکی
133.tif,تا
134.tif,یک
135.tif,بود
136.tif,دم
137.tif,کن
138.tif,آمد
139.tif,داد
140.tif,سوی
141.tif,چشم
142.tif,چشم
143.tif,بود
144.tif,خون
145.tif,آب
146.tif,اندر
147.tif,کسی
148.tif,گشت
149.tif,دیده
150.tif,بس
151.tif,دم
152.tif,دیده
153.tif,گر
154.tif,سخن
155.tif,گل
156.tif,پر
157.tif,چنین
158.tif,بهر
159.tif,آن
160.tif,به
161.tif,دیده
162.tif,سخن
163.tif,کز
164.tif,آن
165.tif,کار
166.tif,یار
167.tif,اگر
168.tif,کس
169.tif,شاه
170.tif,و
171.tif,کار
172.tif,همی
173.tif,تو
174.tif,خاک
175.tif,گشت
176.tif,کند
177.tif,پای
178.tif,پس
179.tif,هر
180.tif,دو
181.tif,کز
182.tif,دم
183.tif,غم
184.tif,داد
185.tif,همی
186.tif,راه
187.tif,جان
188.tif,دو
189.tif,راه
190.tif,هم
191.tif,گشت
192.tif,کسی
193.tif,نه
194.tif,دم
195.tif,خون
196.tif,مرا
197.tif,خویش
198.tif,کن
199.tif,شود
200.tif,گفت
201.tif,چو
202.tif,که
203.tif,و
204.tif,خوش
205.tif,صد
206.tif,مرا
207.tif,دل
208.tif,نیست
209.tif,تا
210.tif,کس
211.tif,اندر
212.tif,بی
213.tif,ما
214.tif,شاه
215.tif,چون
216.tif,ما
217.tif,مرا
218.tif,زین
219.tif,آتش
220.tif,دارد
221.tif,عالم
222.tif,آید
223.tif,کس
224.tif,او
225.tif,عالم
226.tif,هر
227.tif,کار
228.tif,بس
229.tif,نیست
230.tif,بد
231.tif,خوش
232.tif,آید
233.tif,باشد
234.tif,که
235.tif,پس
236.tif,چنین
237.tif,چشم
238.tif,روی
239.tif,سر
240.tif,جز
241.tif,سر
242.tif,داد
243.tif,جان
244.tif,هر
245.tif,باشد
246.tif,هیچ
247.tif,خوش
248.tif,با
249.tif,پس
250.tif,داد
251.tif,گفت
252.tif,شد
253.tif,جان
254.tif,سخن
255.tif,چشم
256.tif,چنین
257.tif,دم
258.tif,چو
259.tif,آتش
260.tif,خود
261.tif,سوی
262.tif,شب
263.tif,باد
264.tif,این
265.tif,چشم
266.tif,بی
267.tif,کز
268.tif,گل
269.tif,هر
270.tif,دو
271.tif,تا
272.tif,یکی
273.tif,همی
274.tif,همی
275.tif,ای
276.tif,چه
277.tif,کار
278.tif,یک
279.tif,این
280.tif,بس
281.tif,در
282.tif,و
283.tif,این
284.tif,کسی
285.tif,تا
286.tif,دگر
287.tif,بهر
288.tif,شاه
289.tif,چون
290.tif,دست
291.tif,سوی
292.tif,نیست
293.tif,زین
294.tif,یار
295.tif,هم
296.tif,چشم
297.tif,خون
298.tif,جان
299.tif,نیست
300.tif,آن
301.tif,همی
302.tif,اگر
303.tif,تا
304.tif,که
305.tif,یکی
306.tif,جان
307.tif,کس
308.tif,یار
309.tif,یار
310.tif,آمد
311.tif,چو
312.tif,دو
313.tif,جان
314.tif,آمد
315.tif,آب
316.tif,شب
317.tif,آتش
318.tif,خاک
319.tif,زان
320.tif,شود
321.tif,غم
322.tif,چون
323.tif,پر
324.tif,زان
325.tif,آب
326.tif,پیش
327.tif,پای
328.tif,چون
329.tif,این
330.tif,کار
331.tif,شاه
332.tif,گر
333.tif,ترا
334.tif,همی
335.tif,دو
336.tif,تا
337.tif,یار
338.tif,صد
339.tif,تو
340.tif,با
341.tif,پیش
342.tif,زین
343.tif,هست
344.tif,را
345.tif,خویش
346.tif,ترا
347.tif,گفت
348.tif,جان
349.tif,نه
350.tif,چون
351.tif,جان
352.tif,اگر
353.tif,هر
354.tif,اندر
355.tif,کسی
356.tif,باد
357.tif,شب
358.tif,خاک
359.tif,هم
360.tif,آن
361.tif,بی
362.tif,سخن
363.tif,او
